,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home.dest
0,3,0.0,male,,0,0,367228,7.75,,Q,,
1,3,1.0,female,,2,0,367226,23.25,,Q,16,
2,3,1.0,female,,2,0,367226,23.25,,Q,16,
3,3,1.0,male,,2,0,367226,23.25,,Q,16,
4,3,1.0,female,,0,0,330932,7.7875,,Q,13,
5,3,0.0,male,,0,0,36568,15.5,,Q,,
6,3,1.0,female,,0,0,330931,7.8792,,Q,13,
7,3,0.0,female,15.0,0,0,330923,8.0292,,Q,,
8,3,0.0,female,35.0,0,0,9232,7.75,,Q,,
9,3,0.0,male,,0,0,370372,7.75,,Q,,
10,3,0.0,male,24.0,1,0,376566,16.1,,S,,
11,3,0.0,female,19.0,1,0,376566,16.1,,S,,
12,3,0.0,female,,0,0,370368,7.75,,Q,,
13,3,0.0,female,,0,0,SOTON/O.Q. 392087,8.05,,S,,
14,3,0.0,female,,0,0,343095,8.05,,S,,
15,3,0.0,male,55.5,0,0,A.5. 11206,8.05,,S,,
16,3,0.0,male,,0,0,368703,7.75,,Q,,
17,3,1.0,male,21.0,0,0,345501,7.775,,S,15,
18,3,0.0,male,,0,0,359306,8.05,,S,,
19,3,0.0,male,24.0,0,0,349233,7.8958,,S,,
20,3,0.0,male,21.0,0,0,349211,7.8958,,S,,
21,3,0.0,male,28.0,0,0,349207,7.8958,,S,,
22,3,0.0,male,,0,0,349221,7.8958,,S,,
23,3,1.0,female,,0,0,330980,7.8792,,Q,16,
24,3,0.0,male,25.0,0,0,348123,7.65,F G73,S,,
25,3,1.0,male,6.0,0,1,392096,12.475,E121,S,14,
26,3,1.0,female,27.0,0,1,392096,12.475,E121,S,14,
27,3,0.0,male,,0,0,A4. 54510,8.05,,S,,
28,3,1.0,female,,1,0,371110,24.15,,Q,16,
29,3,0.0,male,,1,0,371110,24.15,,Q,,
30,3,0.0,male,,0,0,330877,8.4583,,Q,,
31,3,0.0,male,34.0,0,0,364506,8.05,,S,,
32,3,0.0,male,,0,0,372622,7.75,,Q,,
33,3,1.0,male,,0,0,312991,7.775,,S,B,
34,3,1.0,male,,1,1,2661,15.2458,,C,C,
35,3,1.0,male,,1,1,2661,15.2458,,C,C,
36,3,1.0,female,,0,2,2661,15.2458,,C,C,
37,3,0.0,female,,0,0,2626,7.2292,,C,,
38,3,0.0,male,,0,0,374746,8.05,,S,,
39,3,1.0,female,,0,0,35852,7.7333,,Q,16,
40,3,1.0,female,24.0,0,0,382653,7.75,,Q,15,
41,3,0.0,male,,0,0,A./5. 3235,8.05,,S,,
42,3,1.0,female,,1,0,367230,15.5,,Q,16,
43,3,1.0,female,,1,0,367230,15.5,,Q,16,
44,3,1.0,female,,0,0,36568,15.5,,Q,16,
45,3,0.0,male,18.0,0,0,347078,7.75,,S,,
46,3,0.0,male,22.0,0,0,349206,7.8958,,S,,
47,3,1.0,female,15.0,0,0,2667,7.225,,C,C,
48,3,1.0,female,1.0,0,2,2653,15.7417,,C,C,
49,3,1.0,male,20.0,1,1,2653,15.7417,,C,C,
50,3,1.0,female,19.0,1,1,2653,15.7417,,C,C,
51,3,0.0,male,33.0,0,0,A./5. 3338,8.05,,S,,
52,3,0.0,male,,0,0,349218,7.8958,,S,,
53,3,0.0,male,,0,0,2652,7.2292,,C,,
54,3,0.0,female,,0,0,365237,7.75,,Q,,
55,3,0.0,male,,0,0,349234,7.8958,,S,,
56,3,1.0,male,12.0,1,0,2651,11.2417,,C,C,
57,3,1.0,female,14.0,1,0,2651,11.2417,,C,C,
58,3,0.0,female,29.0,0,0,3101297,7.925,,S,,
59,3,0.0,male,28.0,0,0,363611,8.05,,S,,
60,3,1.0,female,18.0,0,0,347066,7.775,,S,D,
61,3,1.0,female,26.0,0,0,347470,7.8542,,S,13,
62,3,0.0,male,21.0,0,0,350410,7.8542,,S,,
63,3,0.0,male,41.0,0,0,SOTON/O2 3101272,7.125,,S,,"Finland Sudbury, ON"
64,3,1.0,male,39.0,0,0,STON/O 2. 3101289,7.925,,S,9,
65,3,0.0,male,21.0,0,0,A/4. 39886,7.8,,S,,
66,3,0.0,male,28.5,0,0,2697,7.2292,,C,,
67,3,1.0,female,22.0,0,0,347081,7.75,,S,13,
68,3,0.0,male,61.0,0,0,345364,6.2375,,S,,
69,3,0.0,male,,1,0,370365,15.5,,Q,,
70,3,0.0,male,,0,0,330979,7.8292,,Q,,
71,3,0.0,female,,1,0,370365,15.5,,Q,,
72,3,0.0,male,,0,0,334912,7.7333,,Q,,
73,3,0.0,male,,0,0,371060,7.75,,Q,,
74,3,0.0,male,,0,0,366713,7.75,,Q,,
75,3,0.0,male,23.0,0,0,7267,9.225,,S,,
76,3,0.0,female,,0,0,364856,7.75,,Q,,
77,3,1.0,female,,0,0,14311,7.75,,Q,D,
78,3,0.0,female,,0,0,330959,7.8792,,Q,,
79,3,1.0,female,22.0,0,0,347085,7.775,,S,C,
80,3,1.0,male,,0,0,368402,7.75,,Q,B,
81,3,1.0,female,,0,0,330919,7.8292,,Q,13,
82,3,1.0,male,9.0,0,1,C 17368,3.1708,,S,13,
83,3,0.0,male,28.0,0,0,C 4001,22.525,,S,,
84,3,0.0,male,42.0,0,1,4579,8.4042,,S,,
85,3,0.0,male,,0,0,Fa 265302,7.3125,,S,,
86,3,0.0,female,31.0,0,0,350407,7.8542,,S,,
87,3,0.0,male,28.0,0,0,347464,7.8542,,S,,
88,3,1.0,male,32.0,0,0,347079,7.775,,S,A,
89,3,1.0,male,20.0,0,0,6563,9.225,,S,,"Oslo, Norway Cameron, WI"
90,3,0.0,female,23.0,0,0,315085,8.6625,,S,,
91,3,0.0,female,20.0,0,0,315096,8.6625,,S,,
92,3,0.0,male,20.0,0,0,315094,8.6625,,S,,
93,3,0.0,male,16.0,0,0,7534,9.2167,,S,,
94,3,0.0,female,31.0,0,0,349244,8.6833,,S,,
95,3,0.0,female,,0,0,330909,7.6292,,Q,,
96,3,0.0,male,2.0,3,1,349909,21.075,,S,,
97,3,0.0,male,6.0,3,1,349909,21.075,,S,,
98,3,0.0,female,3.0,3,1,349909,21.075,,S,,
99,3,0.0,female,8.0,3,1,349909,21.075,,S,,
100,3,0.0,female,29.0,0,4,349909,21.075,,S,,
101,3,0.0,male,1.0,4,1,3101295,39.6875,,S,,
102,3,0.0,male,7.0,4,1,3101295,39.6875,,S,,
103,3,0.0,male,2.0,4,1,3101295,39.6875,,S,,
104,3,0.0,male,16.0,4,1,3101295,39.6875,,S,,
105,3,0.0,male,14.0,4,1,3101295,39.6875,,S,,
106,3,1.0,female,41.0,0,5,3101295,39.6875,,S,,
107,3,0.0,male,21.0,0,0,315097,8.6625,,S,,
108,3,0.0,male,19.0,0,0,358585,14.5,,S,,
109,3,0.0,male,,0,0,3411,8.7125,,C,,
110,3,0.0,male,32.0,0,0,349242,7.8958,,S,,
111,3,0.0,male,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S,,
